identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
Norm / Codex demolition desk,Norm / Codex demolition desk,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-atomic-claim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-slim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-integration-wave2/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-conor-20260826T111536Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-ozzy-20260826T105130Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,31,1471,2026-08-26T08:10:47Z,2026-08-26T18:43:55Z,9.9h,"Your 6ddd17a branch delta versus 479d14c is +203/-7 including FINDINGS, with +94/-7 in tests. Ponytail hearing: what existing fixture was reused, why stdlib or one helper cannot replace this, and what lines disappear? No",one-way/partial,70,20,1281,"149 unique SHA-like refs; samples=cea8cc66c09632db4cd9980063e2e69a3646260c,340c82433c6103b4e149a9a994b6e1b312d3f931,2cc11d683761b702f26d1127efeb631a70ef348b,2c9060c971e991f342ae639431c6c68f6b92a933,ba94cecf897e7",1461,present,present,none,reported-running
Lenny Bruce / Codex hostile-review desk,Lenny Bruce / Codex hostile-review desk,/Users/jay-m4/code/rawclaw-lenny-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-slim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,24,1057,2026-08-26T07:45:49Z,2026-08-26T18:37:59Z,10.0h,"Container raid, heartbeat 36: STALL_CANDIDATE at be4ef6c, ahead 4, code-dirty 0, activity age 2333s. Put every metadata helper and tombstone guard on trial for hidden ownership changes. Delete repetition without moving t",one-way/partial,88,29,998,"58 unique SHA-like refs; samples=124a551dfa2d,e1f88196,e03ae557,20260826,fc1a075",935,present,present,none,reported-running
Conor McGregor / Codex sports desk,Conor McGregor / Codex sports desk,/Users/jay-m4/code/rawclaw-lenny-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32b/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,10,511,2026-08-26T08:07:38Z,2026-08-26T18:36:08Z,10.1h,"pr35-resolution-audit, your pulse reads [luna/conor-pr35-resolution-audit-20260826@4b32d95e04fc dirty=0 live=0 log=1090333 final=703]. You are the catalog cross-examiner. Trace session resolution through Graphify, demand",one-way/partial,83,150,67,"110 unique SHA-like refs; samples=9a55317a35bfa7db21809830c04981f132cef9c4,84e8ca771c8201fcd30f5106db07ab26019c3bc9,5b9756b2200ff6bd670f07407407d84d9f42d84b,3e5228554a561200a3c5ec9e6be7191cd51b9f5b,2cc11d683761b702f26d1127efeb631a70ef348b",510,present,present,none,confirmed historical
Imperator Furiosa / Evidence Prosecutor,Imperator Furiosa / Evidence Prosecutor,/Users/jay-m4/code/rawclaw-furiosa-agent-registry-live/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-mail/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-audit-adoption/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-audit-identity/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-fold-latency/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-rival-claims/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t51-context-tx-independent/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t52-composite-claim-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t52-prior-art-delta/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-current-base-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-rival-points-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-adversarial/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,17,150,2026-08-26T18:28:39Z,2026-08-27T04:40:09Z,future +0.0h,"Nonce nonce-live-f53a91 accepted. Continue your bounded live-agent census. Use agent-mailbox-send.sh for every future receipt; never handcraft timestamps, never read or advance the supervisor cursor, and preserve your de",two-way evidenced,42,88,60,"290 unique SHA-like refs; samples=fdb7c70bc75de423e4ea0705f0a3b038d301d8be,fd89d74437c840b3367052c5bf173eb005db0da7,f7cf58601a9fb3bb33d525091f4eb6ab8a94f592,f66a11ef522e6e12ca4f37bfcbb5109344af8a16,f32d19b091d34eb3b44d315a1e25beef664e69e2",133,present,present,none,confirmed historical
two-supervisor scheduler,two-supervisor scheduler,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2,116,2026-08-26T18:59:14Z,2026-08-27T04:35:59Z,0.1h,"Evidence Prosecutor, tick 56 fired at 2026-08-27T04:24:46Z. Read /Users/jay-m4/code/rawclaw-session-recovery-20260827/two-supervisor-harness/profiles/supervisor-a.md, /Users/jay-m4/code/rawclaw-session-recovery-20260827/",one-way/partial,116,116,116,1 unique SHA-like refs; samples=20260827,116,present,absent,none,reported-running
Human Overseer,Human Overseer,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-arch-leaktest/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-autosync-iso/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-boolnames/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-catalog-sec/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-ctx-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-goose-adv/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-heal/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-index-status/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-librarian/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-params-index/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-h1/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-h2/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-m1/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-m2/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-sem-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-sem-leak/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-topics-inv/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-vault-atomic/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-watch-filter/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt/cbench/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt/embed/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,23,97,2026-08-25T10:25:19Z,2026-08-27T02:16:34Z,2.4h,"--- sender: Furiosa Tick 42 composite interaction referee priority: high date: 2026-08-27T02:17:00Z subject: tick-43 harvest receipt and composite challenge --- tick: 43 phase: harvest, integration, and score mail acted ",one-way/partial,32,57,1,"57 unique SHA-like refs; samples=63c861795fb9,32853463591,32841987316,144150401,fd260271",88,present,present,none,reported-running
Imperator Furiosa,Imperator Furiosa,/Users/jay-m4/code/rawclaw-furiosa-cancellable-consolidation/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-detached-publication/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-rival-claims/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-tag-overlay/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,7,96,2026-08-26T18:26:21Z,2026-08-27T04:13:10Z,0.4h,Receipt confirmed. Continue only the cancellable consolidation fence. Do not advance any supervisor mailbox cursor. Evidence received in Furiosa inbox at 20260827T0318Z.,one-way/partial,21,62,20,"96 unique SHA-like refs; samples=ed648f234d9475ef9d38047c42717f368115784a,e6f22f102c5690b3c28176c11502f9fe00029fd8,dfb911b3d5c1eaf927d21424a30d1fe5896e31b2,dbe6ff326acde357458ee45014836bb9d0f7e017,d91870634ff42b11165811111442acab26244d39",81,present,present,none,completed
"Ozzy, Prince of Darkness of RawClaw","Ozzy, Prince of Darkness of RawClaw",/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32b/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,7,78,2026-08-26T07:36:34Z,2026-08-26T18:36:58Z,10.1h,"Container Luna: audit refresh-cache deletion and reuse against the exact current branch. Separate active refresh DBs, failed-sync recovery artifacts, and disposable stale leftovers. No broad cleanup. Mail a fence-scoped ",one-way/partial,5,9,64,"16 unique SHA-like refs; samples=f83eaea,e7f3bbe,e4b7695,cdc063d,c8618ff",73,present,present,none,reported-running
"Ozzy, cache necromancer","Ozzy, cache necromancer",/Users/jay-m4/code/rawclaw-norm-prewarm/.agent-mailbox,1,64,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,10.1h,none evidenced,absent,0,64,63,none evidenced,64,not evidenced,absent,none,ambiguous
"Ozzy, keeper of the phase clock","Ozzy, keeper of the phase clock",/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox,1,64,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,10.1h,none evidenced,absent,64,64,63,none evidenced,64,not evidenced,absent,none,ambiguous
