canonical_id,identity_persona,status,model_reasoning,session_id,tmux_pid,worktree,branch_at_head,upstream_state,mailbox,first_seen_utc,last_seen_utc,nonce_status,result_state,gate_state,mutation_state,patch_identity,current_base_relevance,evidence_sources,confidence,cleanup_authority,open_gaps
mailbox-001,Norm / Codex demolition desk,reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-atomic-claim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-slim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-integration-wave2/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-conor-20260826T111536Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-ozzy-20260826T105130Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T08:10:47Z,2026-08-26T18:43:55Z,one-way/partial,reported-running,reported-count=1461,reported-count=1281,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-002,Lenny Bruce / Codex hostile-review desk,reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-lenny-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault-slim/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase-fix-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-prewarm-review/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-tombstone/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T07:45:49Z,2026-08-26T18:37:59Z,one-way/partial,reported-running,reported-count=935,reported-count=998,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-003,Conor McGregor / Codex sports desk,confirmed historical,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-lenny-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32b/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2026-08-26T08:07:38Z,2026-08-26T18:36:08Z,one-way/partial,historical,reported-count=510,reported-count=67,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-004,Imperator Furiosa / Evidence Prosecutor,confirmed historical,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-furiosa-agent-registry-live/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-mail/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-audit-adoption/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-audit-identity/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-fold-latency/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-rival-claims/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t51-context-tx-independent/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t52-composite-claim-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t52-prior-art-delta/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-current-base-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-t53-rival-points-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-adversarial/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T18:28:39Z,2026-08-27T04:40:09Z,two-way evidenced,historical,reported-count=133,reported-count=60,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-005,two-supervisor scheduler,reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox,2026-08-26T18:59:14Z,2026-08-27T04:35:59Z,one-way/partial,reported-running,reported-count=116,reported-count=116,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-006,Human Overseer,reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-arch-leaktest/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-autosync-iso/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-boolnames/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-catalog-sec/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-ctx-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-goose-adv/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-heal/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-index-status/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-librarian/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-params-index/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-h1/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-h2/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-m1/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rv-m2/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-sem-cancel/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-sem-leak/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-topics-inv/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-vault-atomic/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-watch-filter/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt/cbench/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt/embed/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-25T10:25:19Z,2026-08-27T02:16:34Z,one-way/partial,reported-running,reported-count=88,reported-count=1,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-007,Imperator Furiosa,completed,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-furiosa-cancellable-consolidation/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-detached-publication/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-rival-claims/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-tag-overlay/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2026-08-26T18:26:21Z,2026-08-27T04:13:10Z,one-way/partial,completed-reported,reported-count=81,reported-count=20,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-008,"Ozzy, Prince of Darkness of RawClaw",reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-luna-conor-31test/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-32b/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T07:36:34Z,2026-08-26T18:36:58Z,one-way/partial,reported-running,reported-count=73,reported-count=64,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-009,"Ozzy, cache necromancer",ambiguous,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-norm-prewarm/.agent-mailbox,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,absent,ambiguous,reported-count=64,reported-count=63,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,low,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-010,"Ozzy, keeper of the phase clock",ambiguous,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-norm-phase/.agent-mailbox,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,absent,ambiguous,reported-count=64,reported-count=63,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,low,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
