kind,absolute_worktree,branch,head,upstream,ahead_behind,dirty_state,last_author,last_time,last_subject,persona_inference,mailbox_presence,result_report_files,merge_base_to_current_base,current_base_relevance
attached-worktree,/Users/jay-m4/code/rawclaw,integrate/tagwrite-closeout-wave1,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,origin/integrate/tagwrite-closeout-wave1,1/0,dirty,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,integrate,.agent-mailbox,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;HAN_HARNESS_AUDIT.md;HAN_TICK7_PRIOR_ART.md;HAN_TICKER_ACTIVATION.md;README.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/cwmerge,integrate/cw-polish,c813bccc3e4edecdbcda6ded45db31708db02406,UNCERTAIN,540/13 vs base,clean,MoonCaves,2026-08-25T16:24:39+08:00,Merge branch 'fix/cw-account-dedup' into integrate/cw-polish,integrate,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,90dbbc9287fa92160c84664f6fface92df27375b,diverged
attached-worktree,/private/tmp/furiosa-c38-contract-referee-20260827,referee/furiosa-c38-contract-20260827,feae99e6e965e76bd0d0b0d065eded3e4dc79a3c,origin/referee/furiosa-c38-contract-20260827,0/0,clean,MoonCaves,2026-08-27T06:33:21+08:00,test: cover pruning without source sidecars,referee,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-c38-contract-referee-c38,(detached),c38f79acf9c9ae43ebd091a95f36837f43c0e423,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T05:38:03+08:00,fix: prune sidecars when source lacks sidecar tables,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-candidate-run-20260827,(detached),8c8216e25e22496b2e3e919fce836be49d692e25,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T04:15:58+08:00,fix(index): prune only missing source topics,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-closeout-sidecars-20260827,worker/furiosa-closeout-sidecars-20260827,a62ab05c0c23e63e7ed401c0b85aa52011b2e71a,UNCERTAIN,0/9 vs base,clean,MoonCaves,2026-08-27T06:08:34+08:00,fix: prune sidecars for removed sessions,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-final-current-base-20260827,worker/furiosa-final-current-base-20260827,0cd00e44c7eb87e30fcf72f8ae790e7060635b09,origin/worker/furiosa-final-current-base-20260827,0/0,clean,MoonCaves,2026-08-27T06:40:25+08:00,fix(index): prune orphaned consolidated sidecars,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-final-current-base-referee-20260827,(detached),0cd00e44c7eb87e30fcf72f8ae790e7060635b09,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T06:40:25+08:00,fix(index): prune orphaned consolidated sidecars,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-integration-terminal-contract-20260827,worker/furiosa-integration-terminal-contract-20260827,a78b39b3d87c82a4f83878359afc98e2b8fde2d4,origin/worker/furiosa-integration-terminal-contract-20260827,0/0,clean,MoonCaves,2026-08-27T05:12:37+08:00,fix: prune sidecars for removed sessions,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-latency-run-20260827,(detached),571f128eedc4b1760a9b139fd1732d31180a97f2,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:13:32+08:00,test: record actual detached publication completion,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-ozzy-advanced-audit-20260827,(detached),96aa522611fdcb78e281db31634144e40222de91,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:12:37+08:00,fix: prune sidecars for removed sessions,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-publisher-mutation-matrix-20260827,worker/furiosa-publisher-mutation-matrix-20260827,0995e28446cd9766fc4bf082123199f9171aaba4,origin/worker/furiosa-publisher-mutation-matrix-20260827,0/0,clean,MoonCaves,2026-08-27T05:27:40+08:00,test: codify nil-scope consolidated fence safety,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;FURIOSA_PUBLISHER_MUTATION_MATRIX.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-rival-claim-spy-20260827,(detached),fb99037cda7c4ca80b6f5294631e5e5c0acc71b6,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:07:29+08:00,cli: remove redundant tag topic overlay,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/furiosa-t45-candidate-386ec9d,(detached),386ec9d03bc4b4ae77ef8238d06e0f8b0782de21,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T03:06:03+08:00,perf(index): batch tombstone pruning,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-t45-detached-receipt-prior-art-20260827,worker/furiosa-t45-detached-receipt-prior-art-20260827,c9c1ebdef669ed0caa2dd9fcee7d58f68da93071,origin/worker/furiosa-t45-detached-receipt-prior-art-20260827,0/0,clean,MoonCaves,2026-08-27T10:42:49+08:00,research: audit detached receipt prior art,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;FINDINGS_DETACHED_PUBLICATION_RECEIPT.md;README.md;ROADMAP.md;TICK17_PRIOR_ART.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-t45-rebuttal-stress-20260827,worker/furiosa-t45-rebuttal-stress-20260827,62fceb327b88b702547a8f93af67cd41748664d7,origin/worker/furiosa-t45-rebuttal-stress-20260827,0/0,clean,MoonCaves,2026-08-27T10:44:08+08:00,docs: stress-test furiosa rebuttal score eligibility,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md;TICK45_REBUTTAL_STRESS.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-terminal-best-effort-20260827,worker/furiosa-terminal-best-effort-20260827,1e61f732fc3f9234dd9b94a55407d7419fe71b47,origin/worker/furiosa-terminal-best-effort-20260827,0/0,clean,MoonCaves,2026-08-27T05:28:28+08:00,fix(cli): state detached publication is best effort,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/furiosa-terminal-receipt-referee-20260827,worker/furiosa-terminal-receipt-referee-20260827,0b39b82a5d5b87edfe4d8b9c80c16c4b1038103f,origin/worker/furiosa-terminal-receipt-referee-20260827,0/0,clean,MoonCaves,2026-08-27T05:20:23+08:00,referee: reproduce detached publication receipt gap,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS_DETACHED_PUBLICATION_RECEIPT.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-cli-baseline-9068aff,(detached),9068aff3c3a4b6cd1a51f0681ce7594e86018a07,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:28:28+08:00,fix(cli): state detached publication is best effort,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/private/tmp/rawclaw-furiosa-t46-detached-exit-mutation-20260827,worker/furiosa-t46-detached-exit-mutation-20260827,1c007ad9c1f050b30f01ebeed5a24dc8da1bd075,origin/worker/furiosa-t46-detached-exit-mutation-20260827,0/0,clean,MoonCaves,2026-08-27T10:59:39+08:00,audit: attack detached exit terminal receipt,worker,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;HAN_5EEC12B_INVALIDATION_ATTACK.md;README.md;ROADMAP.md;TICK46_DETACHED_EXIT_MUTATION.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-han-candidate.OoXui9,(detached),77947bd769ac9cf219aaa68fc2f06b336dd9bea5,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T12:01:51+08:00,fix(index): prune orphan sidecars without source tables,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;RIVAL_SIDECAR_CENSUS_T52.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-han-mutation-broad,(detached),77947bd769ac9cf219aaa68fc2f06b336dd9bea5,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T12:01:51+08:00,fix(index): prune orphan sidecars without source tables,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;RIVAL_SIDECAR_CENSUS_T52.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-han-mutation-notable,(detached),77947bd769ac9cf219aaa68fc2f06b336dd9bea5,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T12:01:51+08:00,fix(index): prune orphan sidecars without source tables,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;RIVAL_SIDECAR_CENSUS_T52.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-ozzy-96aa.54ESOa,(detached),96aa522611fdcb78e281db31634144e40222de91,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:12:37+08:00,fix: prune sidecars for removed sessions,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-t30-old-20260827,(detached),0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-t40-cabab-check,(detached),ef2eebf414e77086be06281539c5a50ba036a32a,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T06:02:15+08:00,research: add tick17 prior art delta,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-t40-current-check,(detached),ef2eebf414e77086be06281539c5a50ba036a32a,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T06:02:15+08:00,research: add tick17 prior art delta,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;HAN_5EEC12B_INVALIDATION_ATTACK.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
